stationid,year,season,aqi_mean,latitude,longitude,closest_nuclear_distance,mean_distance_3_nearest,closest_nuclear_plant,nuclear_density_100km,inverse_distance_score_100km,log_closest_nuclear_distance,log_mean_distance_3_nearest
AP001,2018,1,120.74157303370787,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2018,2,81.05555555555556,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2018,3,71.60714285714286,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2018,4,134.88059701492537,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2019,1,138.45555555555555,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2019,2,82.95402298850574,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2019,3,48.765957446808514,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2019,4,99.55294117647058,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2020,1,69.27472527472527,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2020,2,50.54945054945055,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP001,2020,3,54.0,16.5384664,80.487276,443.977878693247,673.8378648235736,M.A.P.P.,0,0.0,6.098024570128925,6.514472461758454
AP005,2018,1,161.25581395348837,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2018,2,84.44444444444444,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2018,3,97.8170731707317,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2018,4,146.88311688311688,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2019,1,171.35632183908046,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2019,2,107.15730337078652,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2019,3,90.26582278481013,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
AP005,2019,4,122.30232558139535,17.7151271,83.1997752,658.9770125732174,916.7661958764978,M.A.P.P.,0,0.0,6.492205004979393,6.821942669594151
