StationId,StationName,City,State,Location,latitude,longitude
AP001,"Secretariat, Amaravati ",Amaravati,Andhra Pradesh,"(16.5384664, 80.487276)",16.5384664,80.487276
AP002,"Anand Kala Kshetram, Rajamahendravaram ",Rajamahendravaram,Andhra Pradesh,"(17.1779937,78.5962716)",17.1779937,78.5962716
AP003,"Tirumala, Tirupati ",Tirupati,Andhra Pradesh,"(13.6795235, 79.3497522)",13.6795235,79.3497522
AP004,"PWD Grounds, Vijayawada ",Vijayawada,Andhra Pradesh,"(16.506566,80.629433)",16.506566,80.629433
AP005,"GVM Corporation, Visakhapatnam ",Visakhapatnam,Andhra Pradesh,"(17.7151271,83.1997752)",17.7151271,83.1997752
AS001,"Railway Colony, Guwahati ",Guwahati,Assam,"(26.1808827, 91.7824864)",26.1808827,91.7824864
BR001,"Collectorate, Gaya ",Gaya,Bihar,"(24.7874215, 84.9878318)",24.7874215,84.9878318
BR002,"SFTI Kusdihra, Gaya ",Gaya,Bihar,"(24.7629198,84.9793463)",24.7629198,84.9793463
BR003,"Industrial Area, Hajipur ",Hajipur,Bihar,"(25.6974154,85.2287286)",25.6974154,85.2287286
BR004,"Muzaffarpur Collectorate, Muzaffarpur ",Muzaffarpur,Bihar,"(26.1235133,85.3786688)",26.1235133,85.3786688
BR005,"DRM Office Danapur, Patna ",Patna,Bihar,"(25.5854515, 85.0448266)",25.5854515,85.0448266
BR006,"Govt. High School Shikarpur, Patna ",Patna,Bihar,"(25.5929006,85.2246868)",25.5929006,85.2246868
BR007,"IGSC Planetarium Complex, Patna ",Patna,Bihar,"(25.6102754,85.1293861)",25.6102754,85.1293861
BR008,"Muradpur, Patna ",Patna,Bihar,"(25.6189426,85.1370556)",25.6189426,85.1370556
BR009,"Rajbansi Nagar, Patna ",Patna,Bihar,"(25.6066335, 85.1014347)",25.6066335,85.1014347
BR010,"Samanpura, Patna ",Patna,Bihar,"(25.6012282,85.0804538)",25.6012282,85.0804538
CH001,"Sector-25, Chandigarh",Chandigarh,Chandigarh,"(30.7516466, 76.7567324)",30.7516466,76.7567324
DL001,"Alipur, Delhi ",Delhi,Delhi,"(28.7973118, 77.138667)",28.7973118,77.138667
