,StationId,StationName,City,State,Status,Location,Latitude,Longitude
0,AP001,"Secretariat, Amaravati ",Amaravati,Andhra Pradesh,Active,"(16.5384664, 80.487276)",16.5384664,80.487276
1,AP002,"Anand Kala Kshetram, Rajamahendravaram ",Rajamahendravaram,Andhra Pradesh,,,,
2,AP003,"Tirumala, Tirupati ",Tirupati,Andhra Pradesh,,"(13.6795235, 79.3497522)",13.6795235,79.3497522
3,AP004,"PWD Grounds, Vijayawada ",Vijayawada,Andhra Pradesh,,,,
4,AP005,"GVM Corporation, Visakhapatnam ",Visakhapatnam,Andhra Pradesh,Active,,,
5,AS001,"Railway Colony, Guwahati ",Guwahati,Assam,Active,"(26.1808827, 91.7824864)",26.1808827,91.7824864
6,BR001,"Collectorate, Gaya ",Gaya,Bihar,,"(24.7874215, 84.9878318)",24.7874215,84.9878318
7,BR002,"SFTI Kusdihra, Gaya ",Gaya,Bihar,,,,
8,BR003,"Industrial Area, Hajipur ",Hajipur,Bihar,,,,
9,BR004,"Muzaffarpur Collectorate, Muzaffarpur ",Muzaffarpur,Bihar,,,,
10,BR005,"DRM Office Danapur, Patna ",Patna,Bihar,Active,"(25.5854515, 85.0448266)",25.5854515,85.0448266
11,BR006,"Govt. High School Shikarpur, Patna ",Patna,Bihar,Active,,,
12,BR007,"IGSC Planetarium Complex, Patna ",Patna,Bihar,Active,,,
13,BR008,"Muradpur, Patna ",Patna,Bihar,Active,,,
14,BR009,"Rajbansi Nagar, Patna ",Patna,Bihar,Active,"(25.6066335, 85.1014347)",25.6066335,85.1014347
15,BR010,"Samanpura, Patna ",Patna,Bihar,Active,,,
16,CH001,"Sector-25, Chandigarh ",Chandigarh,Chandigarh,Active,"(30.7516466, 76.7567324)",30.7516466,76.7567324
17,DL001,"Alipur, Delhi ",Delhi,Delhi,Active,"(28.7973118, 77.138667)",28.7973118,77.138667
18,DL002,"Anand Vihar, Delhi ",Delhi,Delhi,Active,"(28.6466157, 77.3155317)",28.6466157,77.3155317
19,DL003,"Ashok Vihar, Delhi ",Delhi,Delhi,Active,"(28.6885171, 77.1739339)",28.6885171,77.1739339
20,DL004,"Aya Nagar, Delhi ",Delhi,Delhi,Active,"(28.476491, 77.1329132)",28.476491,77.1329132
21,DL005,"Bawana, Delhi ",Delhi,Delhi,Active,"(28.79966, 77.0328847)",28.79966,77.0328847
22,DL006,"Burari Crossing, Delhi ",Delhi,Delhi,Inactive,"(28.7285944, 77.1993251)",28.7285944,77.1993251
23,DL007,"CRRI Mathura Road, Delhi ",Delhi,Delhi,Active,"(28.5500925, 77.2751557)",28.5500925,77.2751557
24,DL008,"DTU, Delhi ",Delhi,Delhi,Active,"(28.7508153, 77.1162765)",28.7508153,77.1162765
25,DL009,"Dr. Karni Singh Shooting Range, Delhi ",Delhi,Delhi,Active,"(28.5000822, 77.2675147)",28.5000822,77.2675147
26,DL010,"Dwarka-Sector 8, Delhi ",Delhi,Delhi,Active,"(28.5656109, 77.0670366)",28.5656109,77.0670366
27,DL011,"East Arjun Nagar, Delhi ",Delhi,Delhi,Active,"(28.6569534, 77.2947178)",28.6569534,77.2947178
